timestamp (YYYY.MM.DD-HH.MM.SS),event,time (seconds),time (formatted),file name,file path
2014.08.18-15.07.11,save,99,00:01:39,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-15.12.46,load,0,00:00:00,,
2014.08.18-15.12.52,load,5,00:00:05,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-15.13.48,load,55,00:00:55,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-15.20.46,save,417,00:06:57,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-15.28.06,save,440,00:07:20,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.18-18.58.40,save,12633,03:30:33,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.19-11.18.04,load,0,00:00:00,,
2014.08.19-11.18.13,load,9,00:00:09,ebee3d_49.blend,C:\Art\Ebee3d\ebee3d_49.blend
2014.08.19-11.34.52,save,999,00:16:39,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-12.12.07,save,2234,00:37:14,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-12.43.21,save,1874,00:31:14,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-12.58.59,save,938,00:15:38,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-13.37.15,save,2295,00:38:15,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-13.44.41,save,446,00:07:26,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-13.50.16,save,335,00:05:35,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.03.56,save,819,00:13:39,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.07.56,save,240,00:04:00,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.10.33,save,156,00:02:36,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.12.16,save,102,00:01:42,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.17.10,save,293,00:04:53,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.21.05,save,235,00:03:55,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-14.34.52,save,827,00:13:47,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-15.00.08,save,1515,00:25:15,ebee3d_50.blend,C:\Art\Ebee3d\ebee3d_50.blend
2014.08.19-19.33.52,save,16423,04:33:43,ebee3d_51.blend,C:\Art\Ebee3d\ebee3d_51.blend
2014.08.19-21.12.04,load,0,00:00:00,,
2014.08.19-21.12.16,load,11,00:00:11,ebee3d_51.blend,C:\Art\Ebee3d\ebee3d_51.blend
2014.08.19-21.39.26,save,1630,00:27:10,ebee3d_51.blend,C:\Art\Ebee3d\ebee3d_51.blend
2014.08.20-10.31.24,save,46317,12:51:57,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-10.37.30,save,366,00:06:06,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-10.51.33,save,842,00:14:02,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-11.16.56,save,1522,00:25:22,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-11.23.27,save,391,00:06:31,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-11.41.57,save,1110,00:18:30,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-11.54.36,save,758,00:12:38,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-12.25.42,save,1865,00:31:05,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-12.29.17,save,215,00:03:35,ebee3d_52.blend,C:\Art\Ebee3d\ebee3d_52.blend
2014.08.20-12.37.16,save,478,00:07:58,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.20-12.51.49,save,873,00:14:33,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.20-13.13.22,save,1293,00:21:33,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.20-13.14.36,save,73,00:01:13,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.20-13.41.37,save,1621,00:27:01,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.21-12.30.17,save,82119,22:48:39,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.21-12.36.12,save,354,00:05:54,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.21-15.38.35,save,10942,03:02:22,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.21-15.50.15,load,0,00:00:00,,
2014.08.21-15.50.24,load,9,00:00:09,ebee3d_53.blend,C:\Art\Ebee3d\ebee3d_53.blend
2014.08.21-15.52.47,save,142,00:02:22,ebee3d_54.blend,C:\Art\Ebee3d\ebee3d_54.blend
2014.08.21-15.54.23,save,95,00:01:35,ebee3d_54.blend,C:\Art\Ebee3d\ebee3d_54.blend
2014.08.21-18.57.17,save,10973,03:02:53,ebee3d_54.blend,C:\Art\Ebee3d\ebee3d_54.blend
2014.08.21-19.13.40,load,983,00:16:23,ebee3d_54.blend,C:\Art\Ebee3d\ebee3d_54.blend
2014.08.22-14.40.27,load,70007,19:26:47,ebee3d_54.blend,C:\Art\Ebee3d\ebee3d_54.blend
2014.08.22-15.01.35,save,1268,00:21:08,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-15.11.50,load,0,00:00:00,,
2014.08.22-15.14.28,save,772,00:12:52,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-15.41.09,save,1601,00:26:41,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-15.53.48,save,758,00:12:38,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-16.45.51,save,3123,00:52:03,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-17.09.13,save,1401,00:23:21,ebee3d_55.blend,C:\Art\Ebee3d\ebee3d_55.blend
2014.08.22-18.23.21,save,4448,01:14:08,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-18.48.16,save,1495,00:24:55,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-18.59.00,save,643,00:10:43,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-19.17.06,save,1085,00:18:05,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-19.20.29,save,202,00:03:22,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-19.22.24,save,114,00:01:54,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-19.23.50,save,86,00:01:26,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.22-19.30.28,save,398,00:06:38,ebee3d_56.blend,C:\Art\Ebee3d\ebee3d_56.blend
2014.08.23-10.23.45,load,0,00:00:00,,
